id,timestamp,temperature,humidity,pressure,wind_speed,cloud_cover,location,latitude,longitude
2,2026-02-05 08:52:15.914413+00:00,23.47,44,1018,1.98,0,Pimpri-Chinchwad,18.6298,73.7997
1,2026-02-04 20:46:02.049109+00:00,25.13,28,1016,2.14,27,Pimpri-Chinchwad,18.6298,73.7997
